Marca temporal,¿Practicas futbol?,¿Estas inscrito en alguna liga de futbol?,Cuantos minutos a la semana practicas futbol?,¿Cuando fue la ultima vez que jugaste futbol dentro de una liga?,¿Que variante del fútbol prefieres practicar?,"¿En promedio, cuanto dinero inviertes al momento de entrar a un nuevo equipo de futbol?",¿Cual es tu motivación para practicar el futbol?,¿Que tan difícil es encontrar lugares para jugar al fútbol?,¿Alguna vez has intentado jugar futbol en un equipo donde no conoces a nadie?,"¿Las ligas de futbol en las que participas, permiten jugar a jugadores que no se encuentren inscritos?",¿Cual es el medio que utilizas para conocer las diferentes opciones de ligas en tu comunidad?,¿Has utilizado alguna aplicación web o móvil para buscar donde poder jugar partidos de fútbol?,En caso de haber respondido SI en la pregunta anterior! Especifica cual?
16/07/2021 19:34:02,NO,NO,Menos de 60 minutos,Hace más de un mes,Fútbol rápido,Menos de $100 MN,Convivencia,1,NO,SI,Invitación de un amigo,NO,
16/07/2021 19:34:20,SI,SI,De 60 a 120 minutos,En la última semana,Fútbol soccer,De $100 a $200 MN,Convivencia,3,SI,SI,Invitación de un amigo,SI,Video juegos
16/07/2021 19:37:19,NO,NO,Menos de 60 minutos,Hace más de un mes,Fútbol rápido,Más de $200 MN,Convivencia,5,SI,NO,Invitación de un amigo,NO,
16/07/2021 19:46:12,SI,NO,Menos de 60 minutos,En la última semana,Fútbol 7,Más de $200 MN,Convivencia,3,SI,SI,Invitación de un amigo,NO,
16/07/2021 19:50:36,SI,NO,De 60 a 120 minutos,En los últimos 30 dias,Fútbol 7,Más de $200 MN,Mantener / Mejorar tu estado físico,1,NO,NO,Invitación de un amigo,NO,
16/07/2021 22:22:50,SI,SI,De 60 a 120 minutos,En la última semana,Fútbol soccer,Más de $200 MN,Mantener / Mejorar tu estado físico,1,SI,NO,Invitación de un amigo,NO,
17/07/2021 0:02:33,SI,SI,Menos de 60 minutos,En la última semana,Fútbol soccer,Más de $200 MN,Convivencia,2,SI,SI,Invitación de un amigo,NO,
17/07/2021 7:30:55,SI,SI,Menos de 60 minutos,En los últimos 30 dias,Fútbol 7,Más de $200 MN,Mantener / Mejorar tu estado físico,3,SI,SI,Invitación de un amigo,NO,
17/07/2021 7:45:52,SI,SI,Más de 120 minutos,En los últimos 3 dias,Fútbol soccer,Más de $200 MN,Mantener / Mejorar tu estado físico,1,SI,SI,Invitación de un amigo,NO,
17/07/2021 8:01:16,SI,SI,Menos de 60 minutos,En la última semana,Fútbol 7,Menos de $100 MN,Convivencia,1,SI,NO,Invitación de un amigo,NO,
17/07/2021 8:08:42,SI,NO,De 60 a 120 minutos,Hace más de un mes,Fútbol rápido,De $100 a $200 MN,Convivencia,4,SI,NO,Redes sociales,NO,
17/07/2021 8:54:53,NO,NO,Menos de 60 minutos,Hace más de un mes,Fútbol 7,Más de $200 MN,Mantener / Mejorar tu estado físico,1,NO,NO,Redes sociales,NO,
17/07/2021 11:25:00,SI,SI,De 60 a 120 minutos,Hace más de un mes,Fútbol rápido,De $100 a $200 MN,Mostrar tus habilidades,3,NO,NO,Algún otro medio digital,NO,
17/07/2021 12:49:36,SI,NO,Más de 120 minutos,En la última semana,Fútbol 7,Más de $200 MN,Convivencia,3,SI,NO,Invitación de un amigo,NO,
17/07/2021 12:56:18,SI,NO,Menos de 60 minutos,Hace más de un mes,Fútbol 7,Más de $200 MN,Mantener / Mejorar tu estado físico,1,SI,NO,Redes sociales,NO,
17/07/2021 12:58:13,NO,NO,Menos de 60 minutos,Hace más de un mes,Fútbol soccer,De $100 a $200 MN,Diversión ,2,NO,NO,Invitación de un amigo,NO,
17/07/2021 12:59:54,SI,SI,De 60 a 120 minutos,En la última semana,Fútbol soccer,Más de $200 MN,Convivencia,3,SI,NO,Invitación de un amigo,SI,Facebook
17/07/2021 13:04:39,SI,NO,Menos de 60 minutos,Hace más de un mes,Fútbol 7,De $100 a $200 MN,Mantener / Mejorar tu estado físico,1,SI,NO,Invitación de un amigo,SI,Sport12
17/07/2021 13:17:04,SI,NO,Menos de 60 minutos,Hace más de un mes,Fútbol soccer,Más de $200 MN,Convivencia,4,NO,NO,Invitación de un amigo,NO,
17/07/2021 13:18:02,NO,NO,Menos de 60 minutos,Hace más de un mes,Fútbol sala,Menos de $100 MN,Convivencia,1,SI,SI,Invitación de un amigo,NO,
17/07/2021 13:24:36,SI,NO,Menos de 60 minutos,Hace más de un mes,Fútbol 7,Más de $200 MN,Convivencia,3,NO,NO,Redes sociales,NO,
17/07/2021 13:59:19,SI,SI,De 60 a 120 minutos,En la última semana,Fútbol soccer,Más de $200 MN,Convivencia,3,SI,NO,Invitación de un amigo,SI,Facebook
17/07/2021 14:04:07,SI,NO,Menos de 60 minutos,Hace más de un mes,Fútbol soccer,Menos de $100 MN,Convivencia,1,NO,NO,Invitación de un amigo,NO,
17/07/2021 15:04:57,SI,SI,Más de 120 minutos,Hace más de un mes,Fútbol soccer,Más de $200 MN,Pasión por el soccer,1,SI,SI,Invitación de un amigo,NO,
17/07/2021 15:16:54,SI,NO,De 60 a 120 minutos,Hace más de un mes,Fútbol soccer,Más de $200 MN,Competencia,4,SI,NO,Invitación de un amigo,SI,
17/07/2021 16:57:22,SI,SI,De 60 a 120 minutos,En los últimos 3 dias,Fútbol soccer,De $100 a $200 MN,Mantener / Mejorar tu estado físico,3,NO,NO,Invitación de un amigo,NO,
17/07/2021 19:10:00,SI,NO,Menos de 60 minutos,En los últimos 3 dias,Fútbol soccer,Más de $200 MN,Convivencia,1,SI,NO,Invitación de un amigo,NO,
19/07/2021 14:33:15,SI,NO,Menos de 60 minutos,Hace más de un mes,Fútbol soccer,Más de $200 MN,Convivencia,4,NO,NO,Invitación de un amigo,NO,
28/07/2021 19:03:57,NO,NO,Menos de 60 minutos,Hace más de un mes,Fútbol soccer,Más de $200 MN,Competencia,3,NO,SI,Invitación de un amigo,NO,
28/07/2021 19:11:38,SI,SI,Menos de 60 minutos,En la última semana,Fútbol soccer,Más de $200 MN,Convivencia,2,SI,SI,Invitación de un amigo,NO,
31/07/2021 7:10:26,NO,NO,Menos de 60 minutos,Hace más de un mes,Fútbol 7,Más de $200 MN,Convivencia,4,SI,NO,Invitación de un amigo,NO,
31/07/2021 8:28:05,SI,SI,De 60 a 120 minutos,En la última semana,Fútbol soccer,Más de $200 MN,Convivencia,1,SI,NO,Invitación de un amigo,NO,
31/07/2021 8:36:51,SI,NO,Menos de 60 minutos,En los últimos 30 dias,Fútbol 7,De $100 a $200 MN,Convivencia,2,NO,NO,Invitación de un amigo,NO,
31/07/2021 8:51:27,SI,NO,Menos de 60 minutos,En los últimos 30 dias,Fútbol rápido,De $100 a $200 MN,Convivencia,2,SI,NO,Invitación de un amigo,NO,
31/07/2021 8:56:02,SI,NO,Menos de 60 minutos,Hace más de un mes,Fútbol rápido,De $100 a $200 MN,Convivencia,3,NO,NO,Invitación de un amigo,NO,
31/07/2021 8:59:59,SI,SI,Más de 120 minutos,En los últimos 3 dias,Fútbol soccer,Más de $200 MN,Competencia,2,SI,NO,Redes sociales,SI,Facebook
31/07/2021 9:06:04,SI,SI,De 60 a 120 minutos,En la última semana,Fútbol 7,Más de $200 MN,Mantener / Mejorar tu estado físico,2,NO,SI,Invitación de un amigo,NO,
31/07/2021 9:10:40,SI,SI,Menos de 60 minutos,En los últimos 3 dias,Fútbol 7,Más de $200 MN,Mantener / Mejorar tu estado físico,2,SI,NO,Invitación de un amigo,NO,
31/07/2021 9:13:16,SI,NO,Menos de 60 minutos,En los últimos 30 dias,Fútbol soccer,Más de $200 MN,Convivencia,2,NO,NO,Invitación de un amigo,NO,
31/07/2021 9:18:51,SI,SI,De 60 a 120 minutos,En los últimos 3 dias,Fútbol 7,Más de $200 MN,Mostrar tus habilidades,1,SI,NO,Redes sociales,SI,Facebook
31/07/2021 9:22:11,SI,SI,Menos de 60 minutos,En los últimos 3 dias,Fútbol soccer,Más de $200 MN,Convivencia,1,SI,NO,Invitación de un amigo,NO,
